Designation,Prov_Des,Ln,q,Q,EMoid,H,Epoch,M,Peri,Node,Incl,e,a,Opps,Ref,Designation,name,year,month,day,ate,site,discovers
,2021,BS1,0.396,0.8,0.23326,18.51,20201217,54.9,332.6,27.7,31.7,0.338,0.598,( 45d),E2021-E17,2021,BS1,2021,1,18,I41,Zwicky Tra,nsient Facility
,2021,BP1,0.806,1.153,0.00251,29.6,20201217,54.3,256.7,114.1,5.3,0.177,0.979,(  4d),E2021-B84,2021,BP1,2021,1,16,G96,Mt. Lemmon,Survey
,2021,BJ3,0.319,1.015,0.01427,25.1,20201217,112.9,352.9,312.7,9.7,0.521,0.667,( 23d),E2021-E37,2021,BJ3,2021,1,31,K88,"GINOP-KHK,",Piszkesteto
,2021,BJ1,0.465,1.209,0.02942,24.48,20201217,208.8,145,120.5,11.5,0.445,0.837,( 13d),E2021-BD8,2021,BJ1,2021,1,18,G96,Mt. Lemmon,Survey
,2021,BF2,0.689,1.161,0.00972,26.19,20201217,64.4,66.1,284,8.9,0.256,0.925,(  3d),E2021-BA4,2021,BF2,2021,1,17,F51,Pan-STARRS,1
,2021,BD,0.185,1.542,0.00274,26.9,20201217,265.5,151.3,113.2,2.5,0.785,0.864,(  1d),E2021-B25,2021,BD,2021,1,16,I41,Zwicky Tra,nsient Facility
,2021,BC,0.398,1.012,0.00567,24.33,20201217,153.2,346.2,300.5,21.3,0.435,0.705,( 16d),E2021-BD3,2021,BC,2021,1,16,T08,ATLAS-MLO,
,2021,BB,0.819,1.046,0.00853,28.02,20201217,83,51.5,296.7,7.9,0.122,0.933,(  1d),E2021-BB0,2021,BB,2021,1,16,I41,Zwicky Tra,nsient Facility
,2021,BA,0.767,1.226,0.00086,26.04,20201217,254.7,100.5,117.1,12.5,0.23,0.997,(  2d),E2021-B84,2021,BA,2021,1,16,703,CSS,
,2021,AZ4,0.474,1.453,0.30187,21.42,20201217,99.9,201.3,115.9,44.5,0.508,0.963,(  9d),E2021-B55,2021,AZ4,2021,1,9,F51,Pan-STARRS,1
